id_cliente,idade_cliente,genero,nivel_educacional,estado_civil,num_dependentes,ctg_renda_anual,ctg_cartao_credito,limite_credito_cartao,sld_tot_rotativo_cartao,credito_disponivel_media_12_meses,taxa_media_utilizacao_cartao,meses_relacionamento,num_produtos_detidos,meses_inativos_ultimo_12_meses,num_contatos_ultimo_12_meses,tot_cont_transacoes_ultimo_12_meses,vlr_tot_transacoes_ultimo_12_meses,dif_vlr_transacao_t4_t1,dif_cont_transacao_t4_t1,conta_encerrada,probabilidade_encerramento
710679933,59,M,GRADUATE,SINGLE,1,80K - 120K,BLUE,15633,0,15633,0.0,54,2,5,4,58,8660,0.984,0.758,ATTRITED CUSTOMER,100.0
714602658,39,F,GRADUATE,MARRIED,1,LESS THAN 40K,BLUE,1462,0,1462,0.0,36,1,2,3,36,1998,0.393,0.161,ATTRITED CUSTOMER,100.0
718110858,42,M,UNKNOWN,MARRIED,4,40K - 60K,BLUE,1606,0,1606,0.0,36,2,3,5,41,2628,0.87,0.64,ATTRITED CUSTOMER,100.0
778191933,45,M,UNEDUCATED,SINGLE,3,MORE THAN 120K,BLUE,7135,2517,4618,0.353,35,2,3,5,42,2305,0.631,0.448,ATTRITED CUSTOMER,100.0
714471183,47,M,GRADUATE,DIVORCED,4,80K - 120K,BLUE,17504,476,17028,0.027,39,4,3,4,66,10468,0.892,0.737,ATTRITED CUSTOMER,100.0
778899708,56,F,UNKNOWN,SINGLE,2,40K - 60K,BLUE,2963,0,2963,0.0,37,2,2,3,47,2919,0.902,0.382,ATTRITED CUSTOMER,100.0
711683358,46,F,HIGHSCHOOL,UNKNOWN,3,LESS THAN 40K,BLUE,3313,0,3313,0.0,41,2,3,4,44,2135,0.561,0.419,ATTRITED CUSTOMER,100.0
713144208,51,F,HIGHSCHOOL,MARRIED,0,UNKNOWN,BLUE,9989,568,9421,0.057,42,1,4,4,49,2053,0.52,0.485,ATTRITED CUSTOMER,100.0
720460083,45,F,UNKNOWN,SINGLE,4,UNKNOWN,GOLD,34516,0,34516,0.0,27,1,2,3,42,2198,0.331,0.355,ATTRITED CUSTOMER,100.0
810271083,47,F,UNKNOWN,SINGLE,3,40K - 60K,BLUE,14897,0,14897,0.0,42,1,5,3,53,2164,0.489,0.606,ATTRITED CUSTOMER,100.0
